Internal ID,Internal ID,ID,STORE CODE,Name,Top Level Parent,ID,Name,Company Name,Business Style,Philippines Business Style,Status,Billing Address 1,Billing City,Billing State/Province,Billing Zip,Date Created
13065,13065,CALEC01000,,ALEC MARKETING,CALEC01000 ALEC MARKETING,,,ALEC MARKETING,,,CUSTOMER-Closed Won,"MARCOS DISTRICT, STA. ANA",ILOCOS SUR,ILSR,2703,19-Apr-2023 1:16 pm
11170,11170,CALFA01000,,"ALFAMART TRADING PHILIPPINES, INC. - Head Office","CALFA01000 ALFAMART TRADING PHILIPPINES, INC. - Head Office",,,"ALFAMART TRADING PHILIPPINES, INC. - Head Office",,"ALFAMART TRADING PHILIPPINES, INC.",CUSTOMER-Closed Won,"Alfamart Center Blk 1 Lot 3,4 & 5  Daiichi Industrial Park, Special Economic Zone Maguam",Silang,CVTE,4118,14-Feb-2023 2:56 pm
11325,11325,CALFA01AA1X1842,,"ALFAMART TRADING PHILIPPINES, INC. - Head Office : AMI ALAPAN","CALFA01000 ALFAMART TRADING PHILIPPINES, INC. - Head Office",CALFA01000,"ALFAMART TRADING PHILIPPINES, INC. - Head Office",AMI ALAPAN,,"ALFAMART TRADING PHILIPPINES, INC.",CUSTOMER-Closed Won,"Alfamart Center Blk 1 Lot 3,4 & 5  Daiichi Industrial Park, Special Economic Zone Maguam 4118",Silang,Cavite,,14-Feb-2023 3:26 pm
11258,11258,CALFA01AB1X1776,,"ALFAMART TRADING PHILIPPINES, INC. - Head Office : AMI ANABU 1E","CALFA01000 ALFAMART TRADING PHILIPPINES, INC. - Head Office",CALFA01000,"ALFAMART TRADING PHILIPPINES, INC. - Head Office",AMI ANABU 1E,,"ALFAMART TRADING PHILIPPINES, INC.",CUSTOMER-Closed Won,"Alfamart Center Blk 1 Lot 3,4 & 5  Daiichi Industrial Park, Special Economic Zone Maguam 4118",Silang,Cavite,,14-Feb-2023 3:26 pm
11334,11334,CALFA01AB1X2094,,"ALFAMART TRADING PHILIPPINES, INC. - Head Office : AMI PUROK 4 BIGAA","CALFA01000 ALFAMART TRADING PHILIPPINES, INC. - Head Office",CALFA01000,"ALFAMART TRADING PHILIPPINES, INC. - Head Office",AMI PUROK 4 BIGAA,,"ALFAMART TRADING PHILIPPINES, INC.",CUSTOMER-Closed Won,"Alfamart Center Blk 1 Lot 3,4 & 5  Daiichi Industrial Park, Special Economic Zone Maguam 4118",Silang,Cavite,,14-Feb-2023 3:26 pm
11218,11218,CALFA01AC1X1652,,"ALFAMART TRADING PHILIPPINES, INC. - Head Office : AMI MARCOS ALVAREZ BACOR","CALFA01000 ALFAMART TRADING PHILIPPINES, INC. - Head Office",CALFA01000,"ALFAMART TRADING PHILIPPINES, INC. - Head Office",AMI MARCOS ALVAREZ BACOR,,"ALFAMART TRADING PHILIPPINES, INC.",CUSTOMER-Closed Won,"Alfamart Center Blk 1 Lot 3,4 & 5  Daiichi Industrial Park, Special Economic Zone Maguam 4118",Silang,Cavite,,14-Feb-2023 3:26 pm
11335,11335,CALFA01AC1X2035,,"ALFAMART TRADING PHILIPPINES, INC. - Head Office : AMI CARIDAD CAVITE","CALFA01000 ALFAMART TRADING PHILIPPINES, INC. - Head Office",CALFA01000,"ALFAMART TRADING PHILIPPINES, INC. - Head Office",AMI CARIDAD CAVITE,,"ALFAMART TRADING PHILIPPINES, INC.",CUSTOMER-Closed Won,"Alfamart Center Blk 1 Lot 3,4 & 5  Daiichi Industrial Park, Special Economic Zone Maguam 4118",Silang,Cavite,,14-Feb-2023 3:26 pm
11243,11243,CALFA01AD1X1512,,"ALFAMART TRADING PHILIPPINES, INC. - Head Office : AMI ADMIRAL ROAD L PINAS","CALFA01000 ALFAMART TRADING PHILIPPINES, INC. - Head Office",CALFA01000,"ALFAMART TRADING PHILIPPINES, INC. - Head Office",AMI ADMIRAL ROAD L PINAS,,"ALFAMART TRADING PHILIPPINES, INC.",CUSTOMER-Closed Won,"Alfamart Center Blk 1 Lot 3,4 & 5  Daiichi Industrial Park, Special Economic Zone Maguam 4118",Silang,Cavite,,14-Feb-2023 3:26 pm
11336,11336,CALFA01AD1X2044,,"ALFAMART TRADING PHILIPPINES, INC. - Head Office : AMI SOLDIERS HILL","CALFA01000 ALFAMART TRADING PHILIPPINES, INC. - Head Office",CALFA01000,"ALFAMART TRADING PHILIPPINES, INC. - Head Office",AMI SOLDIERS HILL,,"ALFAMART TRADING PHILIPPINES, INC.",CUSTOMER-Closed Won,"Alfamart Center Blk 1 Lot 3,4 & 5  Daiichi Industrial Park, Special Economic Zone Maguam 4118",Silang,Cavite,,14-Feb-2023 3:26 pm
11337,11337,CALFA01AE1X2046,,"ALFAMART TRADING PHILIPPINES, INC. - Head Office : AMI BUHO","CALFA01000 ALFAMART TRADING PHILIPPINES, INC. - Head Office",CALFA01000,"ALFAMART TRADING PHILIPPINES, INC. - Head Office",AMI BUHO,,"ALFAMART TRADING PHILIPPINES, INC.",CUSTOMER-Closed Won,"Alfamart Center Blk 1 Lot 3,4 & 5  Daiichi Industrial Park, Special Economic Zone Maguam 4118",Silang,Cavite,,14-Feb-2023 3:26 pm
